p-0.04_10.989_0 dE= 0.01070
p+0.04_10.989_0 dE= 0.01084
p-0.04_10.989_1 dE= 0.01127
p+0.04_10.989_1 dE= 0.01124
p_uns_0.2_1000_2887 dE= 0.80617
p_uns_0.2_1000_3535 dE= 3.40470
p_uns_0.2_1000_998 dE= 0.74183
actual force   predicted force   difference
0.01251 0.01258 -0.00007
-0.01123 -0.01257 0.00134
-0.00198 0.00000 -0.00198
-0.00357 0.00000 -0.00357
-0.00033 0.00000 -0.00033
0.00664 0.00251 0.00413
0.00811 0.00985 -0.00174
-0.00730 0.00413 -0.01143
-0.00621 -0.00858 0.00237
0.00083 -0.00212 0.00295
0.00089 0.00301 -0.00213
-0.00198 -0.00232 0.00034
0.00449 0.00427 0.00022
0.00150 0.00648 -0.00498
0.00183 0.00000 0.00183
0.00247 0.00000 0.00247
0.00149 0.00000 0.00149
0.00091 0.00000 0.00091
-0.00150 0.00000 -0.00150
0.00057 0.00000 0.00057
0.00002 0.00000 0.00002
0.00042 0.00000 0.00042
0.00218 0.00000 0.00218
-0.00471 0.00000 -0.00471
-0.00717 0.00000 -0.00717
-0.00159 0.00000 -0.00159
0.00431 0.00479 -0.00048
0.00282 0.00281 0.00001
0.00259 -0.00006 0.00265
0.00223 0.00227 -0.00004
0.00873 0.00886 -0.00013
0.00617 0.01472 -0.00855
0.00693 -0.00049 0.00742
-0.00590 -0.01352 0.00762
-0.00163 -0.00028 -0.00135
0.00195 0.00235 -0.00041
-0.00422 -0.00316 -0.00107
-0.00388 -0.00884 0.00496
-0.00247 0.00000 -0.00247
-0.00174 0.00000 -0.00174
-0.00140 0.00000 -0.00140
-0.00647 0.00000 -0.00647
0.00053 0.00000 0.00053
-0.00094 0.00000 -0.00094
0.00216 0.00504 -0.00288
-0.00139 0.00049 -0.00189
-0.00015 -0.00069 0.00053
0.01418 0.01437 -0.00019
0.00774 0.00886 -0.00112
0.01520 0.00859 0.00660
0.00012 0.00000 0.00012
0.00052 0.00000 0.00052
0.00303 0.00000 0.00303
0.00798 0.00592 0.00206
0.00213 0.00196 0.00017
-0.00723 0.00108 -0.00831
0.00206 0.00000 0.00206
0.00232 0.00000 0.00232
0.00114 0.00000 0.00114
0.00505 0.00277 0.00228
-0.00059 -0.00119 0.00060
0.00381 0.00853 -0.00472
0.00296 0.00000 0.00296
-0.00030 0.00000 -0.00030
-0.00189 0.00000 -0.00189
0.00022 0.00000 0.00022
0.00085 0.00000 0.00085
-0.00003 0.00000 -0.00003
-0.00013 -0.00029 0.00016
-0.00082 0.00168 -0.00250
0.56357 0.57060 -0.00703
-0.00030 0.00003 -0.00034
0.06725 0.06586 0.00139
-0.07400 -0.05696 -0.01704
0.00105 -0.00164 0.00269
-0.00118 -0.00085 -0.00033
0.00205 0.00266 -0.00061
0.05696 0.05317 0.00379
-0.03298 -0.03208 -0.00090
-0.07163 -0.06612 -0.00551
