p-0.04_10.875_0 dE= 0.01136
p+0.04_10.875_0 dE= 0.01132
p_uns_0.2_1000_998 dE= 0.46542
actual force   predicted force   difference
-0.00930 -0.00851 -0.00079
0.00057 0.00506 -0.00449
0.00036 0.00227 -0.00191
-0.00178 -0.00254 0.00076
-0.00402 -0.00162 -0.00241
0.00002 0.00000 0.00002
0.00013 0.00000 0.00013
-0.00112 0.00000 -0.00112
0.00125 0.00000 0.00125
0.00029 0.00000 0.00029
0.00066 0.00000 0.00066
0.00065 0.00000 0.00065
-0.00034 0.00000 -0.00034
-0.00028 0.00000 -0.00028
-0.00125 0.00000 -0.00125
0.00029 0.00000 0.00029
0.00066 0.00000 0.00066
-0.00065 0.00000 -0.00065
-0.00034 0.00000 -0.00034
-0.00028 0.00000 -0.00028
-0.00036 -0.00228 0.00191
-0.00178 -0.00255 0.00077
-0.00402 -0.00161 -0.00242
-0.00002 0.00000 -0.00002
0.00013 0.00000 0.00013
-0.00112 0.00000 -0.00112
-0.00016 0.00000 -0.00016
0.00014 0.00000 0.00014
0.00072 0.00000 0.00072
-0.00006 0.00000 -0.00006
-0.00093 0.00000 -0.00093
-0.00075 0.00000 -0.00075
0.00000 0.00000 0.00000
-0.00065 0.00000 -0.00065
0.00334 0.00000 0.00334
-0.00000 0.00000 -0.00000
0.00109 0.00000 0.00109
-0.00319 0.00000 -0.00319
0.00016 0.00000 0.00016
0.00014 0.00000 0.00014
0.00072 0.00000 0.00072
0.00006 0.00000 0.00006
-0.00093 0.00000 -0.00093
-0.00075 0.00000 -0.00075
0.00000 0.00000 0.00000
-0.00142 0.00000 -0.00142
0.00268 0.00000 0.00268
0.00000 0.00000 0.00000
0.00049 0.00000 0.00049
0.01463 0.00000 0.01463
0.00205 0.00404 -0.00199
0.00076 -0.00084 0.00161
-0.00133 0.00009 -0.00142
-0.00055 0.00000 -0.00055
-0.00006 0.00000 -0.00006
0.00002 0.00000 0.00002
-0.00205 -0.00405 0.00200
0.00076 -0.00085 0.00161
-0.00133 0.00009 -0.00142
0.00055 0.00000 0.00055
-0.00006 0.00000 -0.00006
0.00002 0.00000 0.00002
-0.00164 0.00000 -0.00164
0.00070 0.00000 0.00070
0.00096 0.00000 0.00096
-0.00034 0.00000 -0.00034
0.00048 0.00000 0.00048
0.00060 0.00000 0.00060
0.00164 0.00000 0.00164
0.00070 0.00000 0.00070
0.00096 0.00000 0.00096
0.00034 0.00000 0.00034
0.00048 0.00000 0.00048
0.00060 0.00000 0.00060
0.00000 0.00001 -0.00001
-0.00011 0.00356 -0.00367
0.02743 0.02861 -0.00118
0.00000 0.00000 0.00000
0.00052 0.00000 0.00052
-0.00213 0.00000 -0.00213
-0.00181 -0.00059 -0.00122
0.00016 -0.00060 0.00077
-0.00364 -0.00404 0.00040
-0.00123 0.00000 -0.00123
-0.00093 0.00000 -0.00093
0.01392 0.00000 0.01392
0.00000 0.00000 0.00000
-0.00030 0.00000 -0.00030
0.00122 0.00000 0.00122
0.00000 0.00000 0.00000
-0.00011 0.00000 -0.00011
-0.00004 0.00000 -0.00004
0.00181 0.00059 0.00122
0.00016 -0.00060 0.00077
-0.00364 -0.00404 0.00040
0.00123 0.00000 0.00123
-0.00093 0.00000 -0.00093
0.01392 0.00000 0.01392
1.39901 1.35841 0.04060
-2.77230 -2.77159 -0.00071
0.12567 0.22190 -0.09624
-0.07029 -0.04467 -0.02561
-1.76129 -1.78430 0.02301
0.38732 0.30714 0.08018
0.08671 0.06265 0.02406
0.49654 0.41810 0.07843
0.00754 0.03138 -0.02384
-0.00049 -0.05588 0.05539
0.47915 0.37915 0.10000
-0.12809 -0.05624 -0.07185
0.05230 0.04406 0.00824
0.06408 0.05169 0.01239
-0.00091 0.00922 -0.01012
0.07349 0.08315 -0.00966
0.08825 0.10149 -0.01324
-0.01528 -0.00272 -0.01257
0.02474 0.00182 0.02293
-0.02872 -0.01518 -0.01354
-0.01107 0.01912 -0.03019
-0.28943 -0.28481 -0.00462
0.13870 0.12227 0.01643
0.33884 0.29998 0.03886
0.02072 0.00153 0.01919
0.00738 0.01778 -0.01040
-0.00590 0.00052 -0.00641
-0.01243 0.00503 -0.01747
0.05072 0.03363 0.01709
0.13119 0.07904 0.05215
-0.67821 -0.49479 -0.18342
0.61076 0.29294 0.31782
0.06340 0.04114 0.02225
-0.32443 -0.26043 -0.06400
0.45532 0.34725 0.10807
-0.37398 -0.29820 -0.07578
0.00088 -0.02061 0.02149
0.08983 0.04892 0.04091
-0.02512 -0.01825 -0.00688
0.01183 0.01808 -0.00625
0.13830 0.11202 0.02629
-0.14260 -0.13544 -0.00716
-0.03255 -0.00762 -0.02493
0.01323 0.03003 -0.01680
-0.00607 -0.00123 -0.00484
-0.06037 -0.05316 -0.00721
0.30896 0.34560 -0.03664
-0.20700 -0.30617 0.09917
-0.00411 0.01216 -0.01628
0.01883 0.00947 0.00937
-0.02015 -0.00922 -0.01093
-0.01808 -0.02199 0.00391
